City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
603,Christchurch,NZ,52.95,light rain,-43.5333,172.6333,The George
604,Qurayyat,SA,41.18,clear sky,31.3318,37.3428,Resorts Kandel
606,Kalmar,SE,35.96,overcast clouds,56.6616,16.3616,First Hotel Witt
611,Pesochnoye,RU,27.19,snow,58.006,39.1772,
612,Custoias,PT,42.13,few clouds,41.1053,-7.321,Casa Do Adro / Solar Corte Real - José Carlos Pereira Corte Real
615,Svetlogorsk,BY,26.69,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
623,Khoy,IR,28.04,clear sky,38.5504,44.9535,ترک سل
624,Hanna,CA,44.11,broken clouds,51.6334,-111.9018,West View Motel
626,Jalu,LY,53.53,clear sky,29.0331,21.5482,صاحبة الفخامة
627,Aberystwyth,GB,50.67,overcast clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
628,Ojinaga,MX,58.41,clear sky,29.5667,-104.4167,Suites Las Palmas
630,Mashhad,IR,37.54,mist,36.297,59.6062,Khanye Sabz Hotel
632,Cerrito,CO,56.59,broken clouds,6.8432,-72.694,Yariseth juliana
638,Slave Lake,CA,31.98,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
642,Sterling,US,56.26,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
645,Bonavista,CA,45.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
648,Abu Samrah,SY,45.61,clear sky,35.3029,37.1841,
652,Hays,US,49.91,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
654,Cleethorpes,GB,46.99,broken clouds,53.5605,-0.0323,Comat Hotel
655,Mehamn,NO,27.52,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
661,Nadbai,IN,51.15,clear sky,27.2333,77.2,Rambharosi Meena
664,Asmara,ER,51.53,broken clouds,15.3333,38.9333,Hamasien Hotel
