City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Zhaotong,CN,27.3167,103.7167,29.91,90,98,1.5,light snow
70,Jardim,BR,-21.4803,-56.1381,86.7,38,100,1.41,overcast clouds
71,Niamey,NE,13.5137,2.1098,77.29,15,7,0.0,dust
72,Cape Town,ZA,-33.9258,18.4232,69.89,77,20,18.41,few clouds
73,Avarua,CK,-21.2078,-159.775,78.85,78,20,5.75,few clouds
74,Araouane,ML,18.9048,-3.5265,62.91,17,1,10.65,clear sky
75,Melilla,ES,35.2937,-2.9383,53.98,82,20,1.14,few clouds
76,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.59,93,100,4.61,overcast clouds
77,Gizo,SB,-8.103,156.8419,82.2,70,69,2.68,light rain
78,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,9.22,broken clouds
79,Kalianget,ID,-7.05,113.9333,76.59,87,100,6.73,overcast clouds
80,Maragogi,BR,-9.0122,-35.2225,80.38,77,9,10.65,clear sky
81,Airai,TL,-8.9266,125.4092,62.64,88,82,2.62,broken clouds
82,Ampanihy,MG,-24.7,44.75,73.33,80,0,11.81,clear sky
83,Zavitinsk,RU,50.1167,129.45,-1.08,97,100,7.14,overcast clouds
84,Cidreira,BR,-30.1811,-50.2056,74.98,80,11,21.54,few clouds
85,Kapaa,US,22.0752,-159.319,79.12,71,75,12.66,broken clouds
86,Bluff,NZ,-46.6,168.3333,51.8,72,100,13.13,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,80.91,71,100,11.63,overcast clouds
88,Barrow,US,71.2906,-156.7887,-29.18,68,75,9.22,broken clouds
89,Alugan,PH,12.2188,125.4808,77.79,86,97,15.17,overcast clouds
90,Codrington,AU,-38.2667,141.9667,81.66,33,88,19.19,overcast clouds
91,Ylivieska,FI,64.0833,24.55,14.32,100,94,3.76,overcast clouds
92,Valdosta,US,30.8327,-83.2785,60.71,77,75,0.0,broken clouds
93,Dikson,RU,73.5069,80.5464,-4.63,89,100,26.71,overcast clouds
94,Atherton,GB,53.5237,-2.4935,47.75,92,100,4.0,overcast clouds
95,Talnakh,RU,69.4865,88.3972,-9.0,78,16,9.33,few clouds
96,Termiz,UZ,37.2242,67.2783,41.09,70,0,6.91,clear sky
97,Chengde,CN,40.9725,117.9361,18.05,72,96,3.44,overcast clouds
98,San Cristobal,VE,7.7669,-72.225,73.58,62,88,1.57,overcast clouds
99,Beringovskiy,RU,63.05,179.3167,-19.39,91,9,7.14,clear sky
100,Gat,IL,31.61,34.7642,50.77,100,0,0.67,clear sky
101,Saldanha,ZA,-33.0117,17.9442,66.25,89,92,15.32,overcast clouds
102,Oriximina,BR,-1.7656,-55.8661,74.98,94,81,2.84,broken clouds
103,East London,ZA,-33.0153,27.9116,75.34,91,2,8.14,clear sky
104,Wuxue,CN,29.8506,115.5525,42.1,93,100,3.11,light rain
105,Sibolga,ID,1.7427,98.7792,75.09,84,95,3.2,overcast clouds
106,Tutoia,BR,-2.7619,-42.2744,84.18,83,16,11.12,few clouds
107,Kismayo,SO,-0.3582,42.5454,76.1,81,64,12.06,broken clouds
108,Siruguppa,IN,15.6333,76.9,67.93,60,19,3.09,few clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,77.56,88,91,1.01,overcast clouds
110,Biak,ID,-0.9131,122.8766,74.91,89,100,3.89,overcast clouds
111,Grindavik,IS,63.8424,-22.4338,23.47,80,0,5.75,clear sky
112,Georgetown,MY,5.4112,100.3354,78.89,82,20,8.05,few clouds
113,San Carlos De Bariloche,AR,-41.1456,-71.3082,83.95,9,0,3.44,clear sky
114,Praxedis Guerrero,MX,31.3667,-106.0167,51.42,37,2,9.04,clear sky
115,Bethel,US,41.3712,-73.414,50.58,54,0,6.91,clear sky
116,Gazanjyk,TM,39.2446,55.5154,43.03,65,0,2.73,clear sky
117,Rehoboth,NA,-23.3167,17.0833,71.71,64,91,3.98,overcast clouds
118,Souillac,MU,-20.5167,57.5167,77.38,94,75,3.44,thunderstorm with light rain
119,Goulburn,AU,-34.75,149.7167,67.15,55,29,6.76,scattered clouds
120,Vilhena,BR,-12.7406,-60.1458,73.62,94,75,12.66,thunderstorm
121,Severo-Kurilsk,RU,50.6789,156.125,23.09,75,47,4.45,scattered clouds
122,Khor,RU,47.8861,134.9464,8.37,94,100,6.87,light snow
123,Nikolskoye,RU,59.7035,30.7861,36.72,98,100,10.51,light snow
124,Pushkino,RU,56.0172,37.8667,26.98,91,85,11.45,overcast clouds
125,Iqaluit,CA,63.7506,-68.5145,-24.07,62,100,3.44,overcast clouds
126,Castro,BR,-24.7911,-50.0119,66.81,66,36,6.87,scattered clouds
127,Pudozh,RU,61.8099,36.5345,21.65,96,100,5.75,light snow
128,Spornoye,RU,50.8448,37.2913,23.02,96,20,8.28,few clouds
129,Maldegem,BE,51.2015,3.4472,39.25,80,87,13.38,overcast clouds
130,Ribeira Grande,PT,38.5167,-28.7,61.45,89,100,15.59,overcast clouds
131,Bokoro,TD,12.3807,17.0568,71.04,13,21,11.34,few clouds
132,Chachapoyas,PE,-6.2317,-77.869,55.56,96,99,1.7,moderate rain
133,Sibu,MY,2.3,111.8167,75.51,94,40,0.0,light rain
134,Rocha,UY,-34.4833,-54.3333,65.32,91,100,14.79,overcast clouds
135,Baruun-Urt,MN,46.6806,113.2792,-14.62,100,88,5.35,overcast clouds
136,Yumen,CN,40.2833,97.2,22.06,55,100,7.18,overcast clouds
137,Cherskiy,RU,68.75,161.3,-19.25,98,100,10.07,overcast clouds
138,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,22,10.02,few clouds
139,Iralaya,HN,15.0,-83.2333,77.49,80,14,10.54,few clouds
140,Bang Saphan,TH,11.2126,99.5117,75.15,89,13,2.77,few clouds
141,Guozhen,CN,34.3659,107.359,36.1,77,5,1.95,clear sky
142,Buala,SB,-8.145,159.5921,83.66,71,96,2.28,light rain
143,Sulangan,PH,11.1373,123.7228,78.53,83,75,9.98,broken clouds
144,Te Anau,NZ,-45.4167,167.7167,49.96,79,96,4.56,overcast clouds
145,Sorong,ID,-0.8833,131.25,77.77,87,100,7.85,overcast clouds
146,Jaciara,BR,-15.9653,-54.9683,74.61,92,68,2.3,broken clouds
147,Evensk,RU,61.95,159.2333,-6.11,76,20,6.35,few clouds
148,Carnarvon,AU,-24.8667,113.6333,82.47,74,62,5.75,broken clouds
149,Rio Gallegos,AR,-51.6226,-69.2181,64.45,32,0,23.02,clear sky
150,Takestan,IR,36.0696,49.6959,30.33,58,0,5.32,clear sky
151,El Tarra,CO,8.5756,-73.0949,77.49,73,83,1.14,broken clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,3.44,few clouds
153,Padre Bernardo,BR,-15.35,-48.5,70.02,91,79,2.62,moderate rain
154,Tucano,BR,-10.9631,-38.7867,75.51,82,98,4.29,overcast clouds
155,Tzucacab,MX,20.0667,-89.05,72.19,97,23,3.06,few clouds
156,Spencer,US,43.1414,-95.1444,17.28,59,100,6.91,overcast clouds
157,Ketchikan,US,55.3422,-131.6461,41.47,87,100,3.44,overcast clouds
158,Korla,CN,41.7597,86.1469,26.69,50,72,2.77,broken clouds
159,Arman,RU,59.7,150.1667,-3.01,78,98,6.13,overcast clouds
160,Mezen,RU,65.8522,44.24,10.45,95,92,7.61,light snow
161,Oranjemund,NA,-28.55,16.4333,67.95,80,1,7.72,clear sky
162,Havelock,US,34.8791,-76.9013,59.95,75,75,6.91,broken clouds
163,Beloha,MG,-25.1667,45.05,73.44,85,4,15.21,clear sky
164,Tasiilaq,GL,65.6145,-37.6368,8.76,65,100,4.38,overcast clouds
165,Haines Junction,CA,60.7522,-137.5108,39.15,45,33,11.5,scattered clouds
166,Oxapampa,PE,-10.5775,-75.4017,59.68,99,100,1.23,overcast clouds
167,Mount Isa,AU,-20.7333,139.5,83.97,65,75,6.91,broken clouds
168,Chhatarpur,IN,24.9,79.6,53.29,38,0,2.86,clear sky
169,Vila,PT,42.0304,-8.1588,39.33,92,46,4.32,scattered clouds
170,Saskylakh,RU,71.9167,114.0833,-6.07,77,64,8.5,broken clouds
171,Constantine,DZ,36.365,6.6147,40.41,93,40,4.61,scattered clouds
172,Taoudenni,ML,22.6783,-3.9836,62.15,23,0,10.83,clear sky
173,Keetmanshoop,NA,-26.5833,18.1333,70.72,83,100,4.61,overcast clouds
174,Polonnaruwa,LK,7.9333,81.0,72.46,99,100,2.15,overcast clouds
175,Palana,RU,59.1167,159.9667,-3.69,87,24,4.94,few clouds
176,Salvacion,PH,7.9833,126.1333,77.45,81,100,2.57,overcast clouds
177,Micomeseng,GQ,2.1462,10.6164,69.01,99,49,2.08,scattered clouds
178,Wad Rawah,SD,15.1603,33.1397,70.43,24,1,12.21,clear sky
179,Morondava,MG,-20.2833,44.2833,79.95,83,98,3.09,light rain
180,Kaura Namoda,NG,12.5898,6.5779,68.31,14,1,9.84,clear sky
181,Katsuura,JP,35.1333,140.3,43.2,60,68,2.44,broken clouds
182,Henties Bay,NA,-22.116,14.2845,70.86,83,96,4.23,light rain
183,Raudeberg,NO,61.9875,5.1352,39.87,93,100,5.99,light rain
184,Port Lincoln,AU,-34.7333,135.8667,75.13,41,100,11.86,overcast clouds
